location_key,neighbourhood_group,neighbourhood,latitude,longitude
1,Brooklyn,Kensington,40.64749,-73.97237
2,Manhattan,Midtown,40.75362,-73.98377
3,Manhattan,Harlem,40.80902,-73.9419
4,Brooklyn,Clinton Hill,40.68514,-73.95976
5,Manhattan,East Harlem,40.79851,-73.94399
6,Manhattan,Murray Hill,40.74767,-73.975
7,Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596
8,Manhattan,Hell's Kitchen,40.76489,-73.98493
9,Manhattan,Upper West Side,40.80178,-73.96723
10,Manhattan,Chinatown,40.71344,-73.99037
11,Brooklyn,South Slope,40.66829,-73.98779
12,Manhattan,West Village,40.7353,-74.00525
13,Brooklyn,Williamsburg,40.70837,-73.95352
14,Brooklyn,Fort Greene,40.69169,-73.97185
15,Manhattan,Chelsea,40.74192,-73.99501
16,Brooklyn,Crown Heights,40.67592,-73.94694
17,Brooklyn,Park Slope,40.68069,-73.97706
18,Brooklyn,Windsor Terrace,40.65599,-73.97519
19,Manhattan,Inwood,40.86754,-73.92639
20,Manhattan,East Village,40.7292,-73.98542
21,Brooklyn,Greenpoint,40.72219,-73.93762
22,Brooklyn,Bushwick,40.70186,-73.92745
23,Brooklyn,Flatbush,40.63702,-73.96327
24,Manhattan,Lower East Side,40.71401,-73.98917
25,Brooklyn,Prospect-Lefferts Gardens,40.65944,-73.96238
26,Queens,Long Island City,40.74771,-73.9474
27,Manhattan,Kips Bay,40.73961,-73.98074
28,Manhattan,SoHo,40.7221,-73.99775
29,Manhattan,Upper East Side,40.77065,-73.95269
30,Brooklyn,Prospect Heights,40.67811,-73.96428
31,Manhattan,Washington Heights,40.83139,-73.94095
32,Queens,Woodside,40.75038,-73.90334
33,Brooklyn,Brooklyn Heights,40.69723,-73.99268
34,Brooklyn,Carroll Gardens,40.67967,-74.00154
35,Brooklyn,Gowanus,40.68157,-73.98989
36,Brooklyn,Flatlands,40.63188,-73.93248
37,Brooklyn,Cobble Hill,40.6857,-73.99183
38,Queens,Flushing,40.74028,-73.83168
39,Brooklyn,Boerum Hill,40.68559,-73.98094
40,Queens,Sunnyside,40.74559,-73.92313
41,Brooklyn,DUMBO,40.70207,-73.98571
42,Staten Island,St. George,40.64524,-74.08088
43,Bronx,Highbridge,40.83232,-73.93184
44,Manhattan,Financial District,40.70666,-74.01374
45,Queens,Ridgewood,40.70382,-73.89797
